"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN024140300","CALCUTTA ALIPORE, IN","2020-01-01",,"66",,"54"
"IN024140300","CALCUTTA ALIPORE, IN","2020-01-02",,"69",,"60"
"IN024140300","CALCUTTA ALIPORE, IN","2020-01-03","0.35","63",,"60"
"IN024140300","CALCUTTA ALIPORE, IN","2020-01-04","0.00","63",,
"IN024140300","CALCUTTA ALIPORE, IN","2020-01-05",,"63",,"59"
"IN024140300","CALCUTTA ALIPORE, IN","2020-01-06",,"63","73","55"
"IN024140300","CALCUTTA ALIPORE, IN","2020-01-07",,"62","71","54"
"IN024140300","CALCUTTA ALIPORE, IN","2020-01-08",,"65",,"56"
"IN024140300","CALCUTTA ALIPORE, IN","2020-01-09",,"67",,"60"
"IN024141500","CALCUTTA DUM DUM, IN","2020-01-01",,"65",,
"IN024141500","CALCUTTA DUM DUM, IN","2020-01-02",,"67",,
"IN024141500","CALCUTTA DUM DUM, IN","2020-01-03","0.31","61",,
"IN024141500","CALCUTTA DUM DUM, IN","2020-01-04","0.55","61",,
"IN024141500","CALCUTTA DUM DUM, IN","2020-01-05","0.00","60",,
"IN024141500","CALCUTTA DUM DUM, IN","2020-01-06",,"59",,
"IN024141500","CALCUTTA DUM DUM, IN","2020-01-07",,"59","71",
"IN024141500","CALCUTTA DUM DUM, IN","2020-01-08",,"63",,
"IN024141500","CALCUTTA DUM DUM, IN","2020-01-09",,"64",,
